employee_id,department,work_mode,preferred_floor,preferred_zone,preferred_start_hour,preferred_room_type,typical_capacity,typical_duration_minutes,preferred_flexibility_minutes
E0001,Operations,Office,2,Open,9,Meeting,4,90,120
E0002,Finance,Remote,1,Open,9,Meeting,4,75,60
E0003,Sales,Remote,5,Open,9,Meeting,4,60,30
E0004,Operations,Hybrid,1,Open,9,Meeting,6,105,0
E0005,HR,Remote,5,Collaborative,9,Meeting,10,105,30
E0006,Sales,Hybrid,3,Open,10,Conference,6,45,0
E0007,Sales,Hybrid,4,Quiet,10,Conference,10,30,0
E0008,Operations,Hybrid,3,Collaborative,10,Meeting,8,90,30
E0009,Engineering,Remote,2,Open,8,Training,4,90,30
E0010,HR,Hybrid,1,Collaborative,8,Meeting,10,120,30
E0011,Operations,Hybrid,5,Open,9,Conference,4,90,0
E0012,HR,Office,5,Open,9,Meeting,4,75,30
E0013,HR,Hybrid,1,Open,9,Meeting,6,60,0
E0014,Sales,Hybrid,1,Open,8,Conference,4,30,120
E0015,Finance,Hybrid,2,Collaborative,9,Conference,2,60,30
E0016,HR,Hybrid,3,Collaborative,8,Training,8,60,60
E0017,Marketing,Hybrid,5,Collaborative,10,Conference,6,75,15
E0018,Sales,Hybrid,2,Collaborative,9,Focus,6,75,0
E0019,Engineering,Office,3,Open,9,Meeting,16,90,120
E0020,Finance,Hybrid,2,Open,8,Meeting,8,60,15
E0021,Marketing,Hybrid,5,Open,9,Meeting,12,75,30
E0022,Marketing,Remote,1,Collaborative,9,Meeting,2,30,30
E0023,Engineering,Hybrid,1,Quiet,10,Conference,8,60,0
E0024,Finance,Office,3,Collaborative,10,Conference,12,90,60
E0025,Sales,Hybrid,4,Quiet,9,Meeting,8,75,30
E0026,AI,Hybrid,3,Open,10,Focus,8,120,15
E0027,Finance,Hybrid,4,Collaborative,10,Training,4,60,0
E0028,Engineering,Hybrid,2,Quiet,10,Meeting,2,60,0
E0029,Marketing,Hybrid,2,Quiet,10,Meeting,6,60,60
E0030,Sales,Hybrid,5,Open,9,Meeting,4,60,60
E0031,Finance,Hybrid,4,Open,9,Meeting,12,90,15
E0032,AI,Hybrid,5,Collaborative,8,Meeting,4,75,0
E0033,AI,Hybrid,1,Quiet,8,Conference,16,90,60
E0034,HR,Hybrid,4,Collaborative,10,Meeting,16,45,30
E0035,HR,Hybrid,3,Collaborative,9,Meeting,4,90,30
E0036,Operations,Hybrid,1,Open,9,Focus,4,30,15
E0037,Engineering,Office,1,Open,10,Conference,12,90,15
E0038,Finance,Hybrid,3,Collaborative,10,Focus,16,60,60
E0039,Finance,Office,1,Quiet,10,Meeting,6,60,120
E0040,Operations,Office,4,Open,9,Meeting,4,60,0
E0041,Marketing,Hybrid,5,Collaborative,8,Conference,6,105,30
E0042,Marketing,Remote,1,Open,9,Meeting,8,30,30
E0043,Operations,Remote,4,Quiet,8,Meeting,4,60,30
E0044,Marketing,Hybrid,2,Collaborative,8,Conference,8,90,15
E0045,HR,Hybrid,4,Quiet,9,Conference,2,60,60
