booking_id,employee_id,booking_date,requested_start_datetime,requested_end_datetime,requested_duration_minutes,requested_room_type,requested_capacity,max_time_flexibility_minutes,requested_floor
RB06430,E0742,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:15:00,75,Meeting,16,60,3
RB10999,E0166,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:15:00,75,Conference,4,60,5
RB19847,E0605,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:15:00,75,Conference,12,0,1
RB22582,E0904,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:15:00,75,Meeting,4,30,3
RB25100,E0378,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:00:00,60,Meeting,10,0,5
RB26980,E0506,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:00:00,60,Focus,4,60,5
RB34931,E0457,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:00:00,60,Meeting,4,120,4
RB35480,E0939,2025-01-01,2025-01-01 08:00:00,2025-01-01 09:30:00,90,Meeting,4,0,2
RB00627,E0895,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:45:00,90,Meeting,16,120,3
RB03329,E0243,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Focus,12,15,4
RB07385,E0263,2025-01-01,2025-01-01 08:15:00,2025-01-01 10:15:00,120,Training,16,60,5
RB07900,E0751,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:30:00,75,Meeting,16,0,4
RB08515,E0899,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Conference,2,30,1
RB09581,E0698,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Conference,16,60,1
RB15114,E0232,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:45:00,90,Conference,4,30,1
RB17414,E0401,2025-01-01,2025-01-01 08:15:00,2025-01-01 10:15:00,120,Meeting,10,0,3
RB21757,E0916,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:30:00,75,Conference,4,30,5
RB26708,E0844,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Meeting,6,30,5
RB27925,E0111,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:45:00,90,Conference,16,60,2
RB30341,E0153,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:45:00,90,Conference,10,120,2
RB31383,E0294,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Conference,10,60,2
RB35278,E0077,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:45:00,30,Focus,4,30,5
RB36183,E0055,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,60,Conference,6,30,3
RB36237,E0389,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:00:00,45,Training,8,60,4
RB38897,E0825,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:30:00,75,Meeting,10,30,3
RB00489,E0175,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:45:00,75,Meeting,8,15,3
RB01757,E0535,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:00:00,30,Meeting,6,30,4
RB10023,E0580,2025-01-01,2025-01-01 08:30:00,2025-01-01 10:00:00,90,Training,12,15,1
RB10024,E0114,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:30:00,60,Conference,4,15,4
RB13833,E0305,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:45:00,75,Meeting,2,15,5
RB13934,E0251,2025-01-01,2025-01-01 08:30:00,2025-01-01 10:30:00,120,Training,2,30,2
RB14809,E0909,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:00:00,30,Meeting,2,60,5
RB14860,E0973,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:00:00,30,Focus,8,15,3
RB19324,E0326,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:30:00,60,Training,8,30,3
RB19384,E0305,2025-01-01,2025-01-01 08:30:00,2025-01-01 10:00:00,90,Meeting,4,0,5
RB19387,E0095,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:45:00,75,Meeting,6,60,1
RB19460,E0904,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:45:00,75,Meeting,4,15,3
RB28901,E0932,2025-01-01,2025-01-01 08:30:00,2025-01-01 10:00:00,90,Training,8,0,3
RB29326,E0500,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:30:00,60,Conference,8,120,5
RB38004,E0678,2025-01-01,2025-01-01 08:30:00,2025-01-01 09:45:00,75,Conference,2,15,3
RB00955,E0496,2025-01-01,2025-01-01 08:45:00,2025-01-01 09:15:00,30,Meeting,8,60,1
RB05822,E0208,2025-01-01,2025-01-01 08:45:00,2025-01-01 09:30:00,45,Meeting,16,0,3
RB05922,E0469,2025-01-01,2025-01-01 08:45:00,2025-01-01 09:45:00,60,Meeting,6,0,3
