booking_id,employee_id,booking_date,requested_start_datetime,allocated_start_datetime,requested_end_datetime,allocated_end_datetime,requested_duration_minutes,max_time_flexibility_minutes,requested_room_type,allocated_room_id,allocated_room_type,requested_floor,allocated_floor,requested_capacity,room_capacity,time_relaxation_minutes,allocation_rule,booking_status
RB31383,E0294,2025-01-01,2025-01-01 08:15:00,2025-01-01 07:15:00,2025-01-01 09:15:00,2025-01-01 08:15:00,60,60,Conference,R018,Training,2,2.0,10,16.0,60.0,similar_type_exact_floor,Allocated
RB06430,E0742,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:15:00,2025-01-01 09:15:00,75,60,Meeting,R008,Meeting,3,1.0,16,16.0,0.0,exact_type_any_floor,Allocated
RB10999,E0166,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:15:00,2025-01-01 09:15:00,75,60,Conference,R042,Conference,5,5.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB19847,E0605,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:15:00,2025-01-01 09:15:00,75,0,Conference,R034,Conference,1,4.0,12,16.0,0.0,exact_type_any_floor,Allocated
RB22582,E0904,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:15:00,2025-01-01 09:15:00,75,30,Meeting,R024,Meeting,3,3.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB25100,E0378,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00,60,0,Meeting,R041,Focus,5,5.0,10,16.0,0.0,similar_type_exact_floor,Allocated
RB26980,E0506,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00,60,60,Focus,R043,Focus,5,5.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB34931,E0457,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00,60,120,Meeting,R038,Meeting,4,4.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB35480,E0939,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:00:00,2025-01-01 09:30:00,2025-01-01 09:30:00,90,0,Meeting,R003,Meeting,2,1.0,4,8.0,0.0,exact_type_nearby_floor,Allocated
RB00627,E0895,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:45:00,2025-01-01 09:45:00,90,120,Meeting,R018,Training,3,2.0,16,16.0,0.0,similar_type_any_floor,Allocated
