room_id,floor,room_type,room_size,capacity
R001,1,Conference,Medium,8
R002,1,Focus,Medium,8
R003,1,Meeting,Medium,8
R004,1,Meeting,Medium,8
R005,1,Training,Large,16
R006,1,Focus,Large,16
R007,1,Conference,Medium,8
R008,1,Meeting,Large,16
R009,1,Focus,Medium,8
R010,1,Conference,Medium,8
R011,2,Focus,Medium,8
R012,2,Conference,Small,4
R013,2,Conference,Small,4
R014,2,Conference,Small,4
R015,2,Conference,Medium,8
R016,2,Focus,Small,4
R017,2,Focus,Medium,8
R018,2,Training,Large,16
R019,2,Focus,Small,4
R020,2,Focus,Medium,8
R021,3,Training,Small,4
R022,3,Focus,Small,4
R023,3,Conference,Medium,8
R024,3,Meeting,Medium,8
R025,3,Meeting,Medium,8
R026,3,Training,Small,4
R027,3,Focus,Medium,8
R028,3,Focus,Small,4
R029,3,Training,Small,4
R030,3,Meeting,Small,4
R031,4,Conference,Small,4
R032,4,Focus,Small,4
R033,4,Training,Small,4
R034,4,Conference,Large,16
R035,4,Training,Small,4
R036,4,Training,Small,4
R037,4,Training,Small,4
R038,4,Meeting,Medium,8
R039,4,Meeting,Small,4
R040,4,Training,Large,16
R041,5,Focus,Large,16
R042,5,Conference,Small,4
R043,5,Focus,Medium,8
R044,5,Meeting,Small,4
R045,5,Conference,Medium,8
R046,5,Training,Medium,8
R047,5,Focus,Small,4
R048,5,Focus,Small,4
R049,5,Training,Medium,8
R050,5,Focus,Medium,8
