candidate_room_id,room_historical_demand,room_utilization_rate
R001,43,0.6
R002,269,0.47350492051476156
R003,582,0.61987895716946
R004,362,0.5810249307479224
R005,519,0.6923969820081254
R006,735,0.6665984026213393
R007,378,0.5329887503800548
R008,666,0.7120577281191807
R009,223,0.3849356548069644
R010,351,0.4816053511705686
R011,383,0.5055718475073314
R012,55,0.47093023255813954
R013,47,0.38372093023255816
R014,361,0.36913497887480545
R015,675,0.5564097979617378
R016,68,0.32749178532311063
R017,79,0.42606790799561883
R018,748,0.701700471214915
R019,120,0.2453900709219858
R020,230,0.3890991672975019
R021,571,0.4475025484199796
R022,118,0.29779213785675823
R023,32,0.6267281105990783
R024,280,0.6225606853879105
R025,657,0.5743087557603687
R026,78,0.3515850144092219
R027,202,0.5013462574044157
R028,91,0.21863220247711362
R029,128,0.308562197092084
R030,548,0.4794546850998464
R031,463,0.4638514260446606
R032,224,0.28600523712540005
R033,512,0.4172547635850388
R034,532,0.7176573426573427
R035,385,0.3248059280169372
R036,329,0.268348623853211
R037,166,0.22577829502473087
R038,602,0.6315071607183451
R039,284,0.49212303075768943
R040,858,0.6890495867768595
R041,735,0.6883063690354291
R042,554,0.4553727686384319
R043,257,0.46896290688872067
R044,377,0.4992879521503845
R045,376,0.5587952579301506
R046,530,0.5655830870652421
R047,72,0.27197346600331673
R048,84,0.20193861066235863
R049,344,0.49558638083228246
R050,223,0.38720666161998485
