candidate_room_id,candidate_start_hour,room_time_demand
R001,8,245
R001,9,76
R001,10,66
R001,11,5
R002,8,85
R002,9,133
R002,10,30
R002,11,0
R003,8,209
R003,9,137
R003,10,40
R003,11,54
R004,8,203
R004,9,118
R004,10,104
R004,11,7
R005,7,2
R005,8,73
R005,9,7
R005,10,115
R005,11,93
R005,12,8
R006,7,8
R006,8,23
R006,9,7
R006,10,173
R006,11,70
R006,12,4
R007,8,120
R007,9,32
R007,10,60
R007,11,0
R008,7,2
R008,8,223
R008,9,197
R008,10,2
R008,11,77
R008,12,5
R009,8,45
R009,9,146
R009,10,164
R009,11,0
R010,8,104
R010,9,214
R010,10,92
R010,11,1
R011,8,116
R011,9,5
R011,10,162
R011,11,13
R012,8,173
R012,9,188
R012,10,38
R012,11,3
R013,8,80
R013,9,230
R013,10,59
R013,11,2
R014,8,48
R014,9,247
R014,10,118
R014,11,0
R015,8,226
R015,9,228
R015,10,4
R015,11,49
R016,8,8
R016,9,16
R016,10,135
R016,11,3
R017,8,20
R017,9,158
R017,10,105
R017,11,7
R018,7,4
R018,8,288
R018,9,171
R018,10,170
R018,11,76
R018,12,0
R019,8,1
R019,9,21
R019,10,110
R019,11,0
R020,8,32
R020,9,113
R020,10,36
R020,11,2
R021,8,1
R021,9,209
R021,10,30
R021,11,14
R022,8,53
R022,9,58
R022,10,31
R022,11,0
R023,8,11
R023,9,120
R023,10,72
R023,11,39
R024,8,125
R024,9,221
R024,10,117
R024,11,31
R025,8,235
R025,9,24
R025,10,112
R025,11,26
R026,8,1
R026,9,110
R026,10,22
R026,11,2
R027,8,4
R027,9,113
R027,10,58
R027,11,11
R028,8,6
R028,9,40
R028,10,23
R028,11,0
R029,8,0
R029,9,116
R029,10,37
R029,11,1
R030,8,169
R030,9,79
R030,10,134
R030,11,8
R031,8,187
R031,9,147
R031,10,129
R031,11,9
R032,8,75
R032,9,115
R032,10,35
R032,11,7
R033,8,82
R033,9,208
R033,10,43
R033,11,1
R034,7,2
R034,8,167
R034,9,112
R034,10,61
R034,11,77
R034,12,0
R035,8,34
R035,9,200
R035,10,122
R035,11,7
R036,8,9
R036,9,200
R036,10,35
R036,11,1
R037,8,1
R037,9,109
R037,10,25
R037,11,5
R038,8,261
R038,9,172
R038,10,167
R038,11,51
R039,8,90
R039,9,89
R039,10,96
R039,11,5
R040,7,4
R040,8,276
R040,9,33
R040,10,171
R040,11,15
R040,12,1
R041,7,1
R041,8,101
R041,9,35
R041,10,180
R041,11,17
R041,12,1
R042,8,190
R042,9,118
R042,10,82
R042,11,9
R043,8,78
R043,9,60
R043,10,192
R043,11,14
R044,8,191
R044,9,128
R044,10,111
R044,11,10
R045,8,125
R045,9,125
R045,10,194
R045,11,56
R046,8,185
R046,9,164
R046,10,195
R046,11,13
R047,8,15
R047,9,46
R047,10,82
R047,11,0
R048,8,2
R048,9,104
R048,10,23
R048,11,1
R049,8,159
R049,9,111
R049,10,194
R049,11,7
R050,8,37
R050,9,126
R050,10,37
R050,11,0
